"","x"
"1","（中央社記者黃貞貞倫敦7日專電）英國「衛報」今天發表社論，指出為了美國與世界安全，應支持希拉蕊．柯林頓入主白宮，她的政見優於川普，「電郵門」已還她清白，現在是美國該有女總統的時候了。"
"2","社論指出，面對美國社會不平與不公情況，希拉蕊．柯林頓有縝密與充滿抱負的政策規劃，她有國際視野，對總統職位不僅有卓越的準備，也更符合資格，現在也是美國該有女性總統的時候了。"
"3","不僅如此，聯邦調查局宣布，希拉蕊．柯林頓的私人郵件沒有任何問題，她將不會再被調查；這個「電郵門」事件，希拉蕊．柯林頓固然要負起部分責任，但最重要的是，她是清白的。"
"4","衛報指出，川普是美國史上第1位沒有任何從政經驗及在公務機關服務的美國總統候選人，他對此也不在乎，如果川普當選總統，將向美國及全世界傳遞一個最糟的訊息。"
"5","社論分析，一旦川普當選，將會出現3種令美國選民鄙視的情況，首先這代表右派的總統與右派的國會共治，他們將為富人減稅，對前盟友發動貿易戰。"
"6","其次，川普若當選，將被視為是白種美國人對非洲裔、西班牙裔、亞裔及其他族群美國人的勝利。川普在大選期間反對移民，侮辱穆斯林，醜化黑人，對歐巴馬總統也不尊敬，有種族歧視的美國白人都支持川普，他將使美國的種族歧視情況更嚴重。"
"7","最後，川普若當選，將使全球更不安全，威脅包括美國對聯合國等國際組織的承諾，製造不穩定，使解決環境問題的努力倒退，同時鼓勵俄羅斯、中國大陸、土耳其、北韓等國家的獨裁領導人。"
"8","社論呼籲美國民眾嚴肅看待總統大選，美國與全世界應該有一個比川普更好的總統，希拉蕊．柯林頓是較好的選擇，選民應該投票給她。1051108"
"9","<U+00A0>"
"10","America decides - first votes cast"
"11","America decides - first votes cast"
"12","Philippines drugs crackdown strains packed jails"
"13","NYC shows off anti-vote fraud technology"
"14","Sponsored"
"15","遏止全球暖化 巴黎協定生效"
"16","全球野生動物 40年消失六成"
"17","朴槿惠閨密崔順實 干政遭拘押"
"18","民主運動領袖 翁山蘇姬"
"19","Sponsored"
"20","飯店最髒的地方曝光…太驚人"
"21","第1次進他房間 背著媽媽做…"
"22","童話世界成真～房子好像彩色積木"
"23","昆汀塔倫提諾再拍兩部就退休！"
