"","x"
"1","（法新社邁阿密7日電） 美國國家航空暨太空總署（NASA）今天表示，國際太空站上的美國太空人金布拉夫（Shane Kimbrough），已經完成總統大選投票。這次天外投票距離地球400公里。"
"2","於在軌國際太空站（ISS）內完成投票的金布拉夫，是最新一位漂浮於地球以外參與投票的太空人。他是10月19日搭乘俄國的聯合號火箭（Soyuz rocket）前往太空站，展開為期4個月的任務，與金布拉夫同行的另有2名俄國太空人。"
"3","依據德州的法令，美國太空人自1997年起可以從太空投票，因為大多數的太空人都住在NASA任務控制的詹森太空中心（Johnson Space Center）所在的休士頓地區。"
"4","首位完成太空投票的美國太空人是沃爾夫（DavidWolf），他當時在俄國的和平號（Mir）太空站完成投票；首位在太空投票選總統者，則是2004年的華裔美籍太空人焦立中（Leroy Chiao）。"
"5","NASA在聲明中說：「目前住在太空站的金布拉夫，是最近一位受益於此投票機會的太空人。」"
"6","在太空人能於太空收發電郵後，德州加爾維斯敦郡的選舉辦公室就把電子選票寄到金布拉夫在詹森太空中心的安全電郵帳號內，任務控制中心會把電郵傳到太空站，供金布拉夫在地球上空約400公里完成投票，再透過安全電郵把選票回傳德州。"
"7","包括金布拉夫本人及NASA，都沒提到金布拉夫這張來自天外的選票究竟給了哪位候選人。"
"8","<U+00A0>"
"9","America decides - first votes cast"
"10","America decides - first votes cast"
"11","Philippines drugs crackdown strains packed jails"
"12","NYC shows off anti-vote fraud technology"
"13","Sponsored"
"14","遏止全球暖化 巴黎協定生效"
"15","全球野生動物 40年消失六成"
"16","朴槿惠閨密崔順實 干政遭拘押"
"17","民主運動領袖 翁山蘇姬"
"18","Sponsored"
"19","飯店最髒的地方曝光…太驚人"
"20","第1次進他房間 背著媽媽做…"
"21","童話世界成真～房子好像彩色積木"
"22","昆汀塔倫提諾再拍兩部就退休！"
