"","x"
"1","互聯網與共用經濟時代，企業組織的定義、形態、結構、功能都發生了革命性的變化：人與組織的關係被重構，組織的邊界被打破，組織的生態系統被重組，價值創造體系被重構。組織的扁平化、微化、去中心化、去邊界化已漸成趨勢，網狀組織、生態型組織、自組織、蜂窩式組織、專案制組織等以人（客戶及人才）為中心的新的組織形態，已逐步取代以科層制組織為核心的傳統組織形態。但無論企業組織怎麼變，組織要健康活著，應具有六大健康特徵。 　第一，組織的活力。 　衡量一個組織健康與否的首要標誌，是這個組織是否充滿價值創造的活力，組織變革與創新始終要圍繞啟動組織價值創造要素來進行。活力是組織生存和發展的命門，如果一個企業的員工對事業和工作充滿激情，幹活嗷嗷叫，自動加班，主動負責，勇於擔當，敢於創新，甘於奉獻，這個企業亂點都沒關係，其內在機體一定是血性方剛，激情四射，一定有價值創造戰鬥力和市場競爭力。活力決定一個企業的成長速度和內在機能的強壯程度。如果一個企業內部組織機制僵化、內部關係板結、價值創造動力不足，組織氣氛沉重，員工守成、不思進取，危機與創新意識淡薄，那這個企業氣數已定，離衰落及死亡就不遠了。 　第二，組織的效率。 　組織只有活力而沒有效率，只追求成長速度而沒有成長品質，這個企業走不遠。效率是企業生存和發展之本。企業管理與變革始終是圍繞提高效率而進行，不斷提高組織投入要素與運行的效率是企業永遠下不完的一盤棋。從泰勒時期的點效率，到福特時期的線效率，再到互聯網與知識經濟時代的面效率，管理科學的研究和發展始終也是圍繞效率而展開。只有不斷提高效率才能真正為客戶創造性價比高的產品與服務。 　效率來源於組織的秩序與理性，來源於科學決策與精益管理，來源於組織的簡化與管理的簡單。如果一個組織沒有理性和秩序，管理粗放無標準，組織決策重心偏高，遠離市場與客戶，組織複雜、流程冗長，這個組織一定效率低下，體現為成本高、品質低、不能按時交付，最終做得熱鬧，有規模但不掙錢，沒有盈利能力。 　第三，組織的協同。 　協同產生價值，協同產生整體競爭力，看一個企業健康與否，不是看其體量有多大，而是看其是否強壯，是否有整體資源要素調配力和聚合力。這就要求企業內部各業務單元要協同，戰略性資源要素能夠集中配置與調配。但許多企業，看似體量很大，往往不堪一擊，甚至被小企業顛覆，就是因為企業內部要麼猶如個體戶的集中營，一盤散沙；要麼山頭林立，業務難以協同；要麼本位主義盛行，局部思考，出現部門牆、流程桶，研產銷脫節，前臺後臺脫節，企業難以一體化運作，企業內部沒有協同，機能就會松垮，就會肥胖而不強壯，喪失整體競爭優勢。 　為此，企業要提升協同價值：第一是通過戰略解碼系統，建立起基於戰略的協同機制與管理系統，使整個組織統一於公司戰略目標，在公司戰略績效目標大框架下實現協同；第二是營造客戶導向型協同文化與組織機制，宣導全員客戶理念，強調領導就是服務，打造客戶化流程與組織體系；第三，變革組織協同機制，從中央協同到平行分佈協同。 　過去組織的協同合作，主要是以職能為主分部門，基於部門化合作。現在是以人（人才與客戶）為主劃分團隊，SBU、自主經營體、項目化團隊、跨團隊跨職能客戶解決方案團隊成為團隊協同合作新形式；過去組織內部的協同主要基於科層結構中的權利與權威，下級與同級之間的協同一定來自上級，而未來組織的協同要從中央協調到平行分佈協同甚至是下級協同。從自上而下的科層制組織到無中心分散式網狀結構自組織、自主經營組織。決策不是來自於某個中心，而是廣泛分佈的貼近客戶的散點，行動不一定來自於預先設計，而是隨需而動，協調不是來自上級，而是自動自發平行協同。 　第四，組織的共用。 　為什麼有的企業花高薪從華為等優秀企業挖來的人才，最終發現他們能力平平，創造不了所期望的價值？因為在華為，每個人才並不是孤軍作戰，他可從公司共用的平臺獲得所需要的資訊、知識與資源支援，其價值創造能力得到了放大。離開華為這個平臺，要什麼，沒什麼，其能力自然被減弱。 　因此，一個企業建立資訊、知識、資源的共用平臺與系統，不僅可以實現組織整體價值增值最大化，還可放大組織內部每個個體的工作效能。此外，組織如果內部資訊遮罩、溝通不暢，將導致內部交易成本高，辦事效率低，並滋生本位主義和局部思考；組織內如果知識個人化，難以內生知識與經驗，不僅導致知識流失，還將導致知識與經驗難以累積，最優實踐難以複製；組織內如果人人搶佔資源，資源被獨佔，難以共用，將喪失整體競爭優勢，因此，共用的資訊、知識、資源平臺的建立是組織整體與個體效能的放大器。為此，企業應做到：第一，組織運行透明化、溝通網路化；第二，強化知識管理，將個人對組織的知識貢獻納入績效評價之中；第三，建立戰略資源配置平臺。 　第五，組織的速度。 　這是一個速度致勝的時代，是一個真正的快魚吃慢魚的時代。速度主要體現為“五快”:1.對外部環境敏銳感知的速度快；2．高層決策與員工執行的速度快；3．對客戶需求反應與價值實現的速度快；4．業務流程處理與運行的速度快；5．變革創新的速度快。這“五快”最終體現為組織的成長和發展的速度。 　影響組織速度的內在因素是:1．企業沒有危機意識，自我感覺太好，自我封閉，不開放，不學習，對外部環境變化的感知速度變慢；2．企業官本位，決策重心高，管理鏈條長、層序多，不授權，自然決策與執行速度慢；3．組織機構臃腫，責任缺失，對客戶問題相互推諉、扯皮。如果這些內在因素已導致組織機構機制老化、行動遲緩，這個企業早晚要被時代拋在後面。 　第六，組織的學習。 　組織是一個生命有機體，要與外部環境不斷進行能量交換，要主動調整和改變內在運行機理，以適應外部環境變化，這就是組織的自我調整與自學習能力。企業感覺太好，沒有危機意識，不能敏銳感知外部環境變化並主動準備過冬的棉衣，要麼就失去戰略性發展機會，被時代淘汱，要麼經濟寒冬一來，就被凍死或餓死。 　組織的學習性主要體現在幾個方面:第一，強烈的危機意識與主動變革的精神；第二，打破產業與組織封閉，開放合作，構建共創共贏的產業生態；第三，企業家能夠自我超越，高層領導團隊能夠坦誠自我批判；第四，組織內部知識共用，知識的應用、轉換、創新速度快；第五，具有創新與反思文化氛圍。 【中央網路報】"
"2","NBA 精采直擊"
"3","影劇娛樂集錦"
"4","不滿查稅！　拍扁麵包師往陳菊官邸抗議"
"5","16首世大運主題曲角逐 奪冠獎金30萬"
"6","Sponsored"
"7","飯店最髒的地方曝光…太驚人"
"8","第1次進他房間 背著媽媽做…"
"9","童話世界成真～房子好像彩色積木"
"10","昆汀塔倫提諾再拍兩部就退休！"
