"","x"
"1","（中央社記者張淑伶上海8日電）中國大陸7日頒發文件，允許科研人員兼職，而大學教師經校方批准後，也可以另外從事教學活動賺取報酬。"
"2","    大陸教育部在2013年底曾頒布對大學人才的規定，要求「嚴格規範兼職兼薪行為」，雖然教師經學校審批後可以兼職，但必須是有力增強學校辦學實力且不獲取薪酬的兼職活動。"
"3","    新華社報導，中共中央辦公廳、大陸國務院辦公廳近日印發的「關於實行以增加知識價值為導向分配政策的若干意見」則指出，允許科研人員和教師依法依規適度兼職兼薪。"
"4","    科研人員在不影響本職工作的前提下，經所在單位同意，可以到企業和其他科研機構、大學、社會組織等兼職並取得合法報酬。"
"5","    大學教師經所在單位批准，可開展多點教學並獲得報酬。這份意見還鼓勵利用網路平台等多種媒介，推動課程或教材的社會共享，授課教師可按照市場機制取得報酬。"
"6","    新聞晨報2014年曾經報導，年收入在人民幣15萬元（約新台幣70萬）以下的大學教師占總人數的85.9%，近半數高校教師年收入在10萬元以下。"
"7","    復旦大學資深教授童兵說，青年教師從畢業留校到45歲期間，除了少數特別優秀的可以升到副教授，一般都是講師，月收入平均在6000元到8000元，但是生活成本並不低。1051108"
"8","從美國募80把小提琴 牧師免費教學"
"9","拒大選負面教材　美童公民教育早紮根"
"10","兒尿馬桶外 家長控幼兒園師帶小房間體罰"
"11","師夾腿害童瘀青 家長怒控園方"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
