"","x"
"1","美總統大選投票 全球媒體關注 (圖)"
"2","美總統大8日（當地時間）投票，紐約外籍記者新聞中心暫時關閉，改在距離聯合國不遠的Westin飯店設置臨時記者中心。中央社記者黃兆平紐約攝 105年11月8日"
"3","America decides - first votes cast"
"4","America decides - first votes cast"
"5","Philippines drugs crackdown strains packed jails"
"6","NYC shows off anti-vote fraud technology"
"7","Sponsored"
"8","遏止全球暖化 巴黎協定生效"
"9","全球野生動物 40年消失六成"
"10","朴槿惠閨密崔順實 干政遭拘押"
"11","民主運動領袖 翁山蘇姬"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
