"","x"
"1","美國總統大選專題報導（中央社華盛頓7日綜合外電報導）美國總統大選淹沒在性騷擾與電郵門兩大話題的口水中，外交政策相對而言較不受矚目，然而，白宮主人如何運用這個世界超級強權的影響力，卻是總統權力的主要特徵。"
"2","針對美國在全球的角色，希拉蕊‧柯林頓（Hillary Clinton）和川普（Donald Trump）看法截然不同。兩人均表示美國必須扮演支配的力量，但展現領導力的方式有所差異。川普稱他的方法是「美國優先」，意指除非美國的盟友承擔防衛費用，否則得自求多福；希拉蕊則把國際合作視為運用美國影響力及降低戰爭機率的必要手段。"
"3","以下是兩位總統候選人在5大外交政策議題的理念剖析："
"4","◎中國"
"5","希拉蕊‧柯林頓在國務卿任內是歐巴馬總統「軸心」轉向亞洲政策的要角，她反對給予中國市場經濟地位，並表示美國必須施壓這個崛起的亞洲強權，要求其按照國際規則行事，無論是在貿易或領土紛爭方面。"
"6","川普把批評中國的貿易行為當作競選主題，他指控中國壓低人民幣匯價，誓言將正式為中國貼上貨幣操縱國的標籤，假使北京不修正，他將提議對中國進口產品課徵高達45%的關稅。"
"7","◎俄羅斯"
"8","現任與卸任歐巴馬政府官員透露，他們相信希拉蕊‧柯林頓對俄國的姿態將比歐巴馬或川普更強硬。她指出，她相信俄國駭客幕後策劃入侵民主黨的電腦系統，試圖影響大選。希拉蕊‧柯林頓的外交政策顧問說，她將考慮提供武器給烏克蘭政府部隊，以抵抗俄國「在歐洲的侵略」。"
"9","川普聲稱他將與俄羅斯擁有「極佳」關係，並相信蒲亭（Vladimir Putin）總統是比歐巴馬更稱職的領袖。川普還表示，他將研究承認克里米亞為俄國領土一事，並解除西方國家對俄國的制裁。"
"10","◎伊斯蘭國（IS）"
"11","希拉蕊‧柯林頓主張，對抗這個好戰團體的第一步，是鏟除其位於伊拉克與敘利亞的大本營。她和歐巴馬政府不同的是，她支持在敘利亞領空設立禁飛區，並要求美國為首的聯軍加強空襲。她反對額外派地面部隊至該地區。"
"12","川普對於對抗伊斯蘭國著墨甚少。他表示，一旦他當選，並於明年1月20日上任，他將限令將領們30天內提出作戰計畫。"
"13","◎北韓"
"14","對這個遭國際社會遺棄的國家而言，外交與經濟制裁至今並未收到成效。北韓依舊進行核試爆，在導彈技術上獲得進展。"
"15","川普認為美國可以透過對中國施加更多壓力來箝制北韓。他說，他願意與北韓領導人金正恩會面。"
"16","希拉蕊‧柯林頓希望，全世界能和歐巴馬政府對伊朗所採取的措施一樣，加強對北韓的制裁。"
"17","◎伊朗"
"18","去年與伊朗簽定的核子協議，目前大幅降低美伊軍事對峙的威脅，不過這項協議並不穩固。"
"19","希拉蕊‧柯林頓在國務卿任內協助此一協議奠定根基，因此她支持該協議，但大致上而言，她對伊朗的態度比歐巴馬更強硬。"
"20","川普厭惡這項協議，但主張其中的條件可以重新協商。1051108"
"21","<U+00A0>"
"22","America decides - first votes cast"
"23","America decides - first votes cast"
"24","Philippines drugs crackdown strains packed jails"
"25","NYC shows off anti-vote fraud technology"
"26","Sponsored"
"27","遏止全球暖化 巴黎協定生效"
"28","全球野生動物 40年消失六成"
"29","朴槿惠閨密崔順實 干政遭拘押"
"30","民主運動領袖 翁山蘇姬"
"31","Sponsored"
"32","飯店最髒的地方曝光…太驚人"
"33","第1次進他房間 背著媽媽做…"
"34","童話世界成真～房子好像彩色積木"
"35","昆汀塔倫提諾再拍兩部就退休！"
