"","x"
"1","美國《紐約時報》 美國大選最終戰　希拉蕊樂觀正面　川普負面警告選民　"
"2","美國大選進入最後階段，希拉蕊(Hillary Clinton)不斷趕場催票，除了搖滾明星站台及黑人選區催票外，星期一希拉蕊更是跑了4個州，以陽光正面的角度對選民喊話，她在匹茲堡的活動上說：「明天你們可以投票給一個滿懷希望、包容及雍容大度的美國。」"
"3","川普(Donald Trump)則在5個不同州的競選活動上，採取比較負面的方式來呼籲選民。和他過去一貫的論調相同，他攻擊「扭曲的媒體」及「腐敗的華盛頓機構」，來暗指選舉被操作，民主黨候選人控制了整場選舉，這不公平。"
"4","英國《泰唔士報》 未知的暗湧　提早投票的選民將成川普的考驗"
"5","2016年的總統大選是美國歷年來最難預測的選舉，提早投下選票的婦女及西班牙裔選票，將使川普陷入苦戰。過去投票率相對低的西班牙語裔選民，有許多甚至在投票站未開前，就已經在外等候，民調顯示許多是希拉蕊的支持者。但兩位候選人的民調到選前都還十分接近，這和當時英國脫歐公投難以抉擇的氣氛很類似。"
"6","英國《衛報》 伊拉克士兵深入摩蘇爾戰場　發現大量屍體"
"7","伊拉克庫德族士兵，在深入摩蘇爾東部戰場，「伊斯蘭國」(IS)控制的城鎮時，與IS聖戰士激烈戰鬥。深入南部時甚至發現大約100具屍體。這次收回巴什卡鎮(Bashiqa)的攻勢，IS驅逐戰的一部分，伊拉克政府與美國的聯軍，為了防止IS對平民大量屠殺，誓言要收復這些城鎮。目前戰鬥持續進行。"
"8","法國24電視台　 伊拉克政府軍大舉反攻　IS以人盾、汽車炸彈阻擾"
"9","伊拉克政府與美國聯軍，日前在伊拉克北部大舉反攻，準備一舉擊敗「伊斯蘭國」。IS聖戰士在城市巷道內，設置了許多的地雷、汽車炸彈，試圖阻止聯軍進攻。法國24電視台戰地記者表示，城市巷戰無法避免，IS聖戰士利用建築物、人肉盾牌等阻擾伊拉克部隊進攻，戰事將陷入膠著。"
"10","日本共同社　 被懷疑是IS成員　自由媒體人常岡已被庫德族釋放　"
"11","日本外務省7日向媒體表示，日前被伊拉克北部庫德族自治政府扣押的自由媒體人，常岡浩介(47歲)已經獲釋。預計於8日傍晚返抵日本。他也透過推特向親友表示平安，健康狀況沒有問題。常剛由於被懷疑是激進組織「伊斯蘭國」（IS）成員遭到庫德族當局扣押，但並未遭到任何傷害。"
"12","<U+00A0>"
"13","絕食抗議砍7天假 勞團與警爆衝突"
"14","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"15","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"16","蔡英文總統 新政權起步"
"17","Sponsored"
"18","飯店最髒的地方曝光…太驚人"
"19","第1次進他房間 背著媽媽做…"
"20","童話世界成真～房子好像彩色積木"
"21","昆汀塔倫提諾再拍兩部就退休！"
