"","x"
"1","大陸國企改革試點的號角吹高了中國聯通的股價，帶來了短暫的反彈，但是近日發佈的電信行業業績公報卻又再次讓中國大陸聯通“獻醜”了。 　先是，中國移動發佈業績公報，2016年前三季度實現營收5427億元，同比增長4.3%；股東應占利潤為881億元，同比增長3.1%。而之後中國聯通發佈的業績公報披露，1-9月實現營收2071.39億元，下滑2.3%，淨利潤4.89億元，與去年同期26.9億元相比下滑81.8%。從成績單上看，中國聯通的淨利潤還不及中國移動的1%！ 　2016年前三個季度，中移動營收達5427億，相當於兩個中國電信、三個中國聯通，市場份額達55%，而881億元的淨利更是占到全行業的82.2%。若從利潤和用戶數量看，中國聯通和中國移動已不是等量級的對手。 　而3G時代的中國聯通，堪稱中國電信江湖的第一大霸主。紅光滿面的拿下3G牌照，讓聯通圈到了很多移動和電信的客戶，在業績上遙遙領先於中國移動和中國電信。 　複盤前幾年的三大移動運營商。聯通前三年淨增 3G 用戶數分別是274 萬、1300 萬、2500 萬；中國電信前三年淨增分別是 2818 萬、3443 萬、3595 萬用戶，總淨增用戶數比聯通還多了近 1000 萬。而2013 年底，中國移動總淨增用戶數相當於中國聯通和中國電信之和。 　所以，3G時期的聯通只是看上去很美。即便搭上3G牌照的順風車，業績也還是讓人大跌眼鏡，細思極恐。 　在馬不停蹄地進入了4G時代以後，中國移動搶先接過了4G的權杖，打壓的中國聯通吃力而疲軟。2015年，聯通連續11個月用戶流失，平均每個月約100萬用戶流失，累計失去1125萬用戶。截至今年9月底，聯通手機用戶才達到2.62億戶，其中4G用戶預計達到約8890萬戶。 　4G時代，大家有目共睹中國移動的水漲船高，乾脆放棄了聯通的號碼，很多原來聯通、移動雙卡的用戶直接廢掉了聯通卡；單聯通卡的用戶又換到了移動卡，兩年時間裡，通訊錄裡的很多聯通號碼漸漸變成了404。 　2016年前三季，在收益下降和資金吃緊的雙重逼迫下，聯通被甩到了三大運營商的末位，且是三大運營商中唯一遭遇業績下滑的。 　從現有業務發展情況上分析，中國聯通不僅4G用戶數落後中國移動和中國電信，連傳統優勢業務有線寬頻也面臨中國移動的強勢衝擊，地位不保。有網友抱怨說，“聯通恨不得一天發幾條短信給我”“信號經常歸零，越著急月沒信號”“從此對聯通不報任何幻想”。還有網友抱怨說，假如沒有垃圾短信和騷擾電話，聯通的業績恐怕還要難看十倍。 　而經歷了“屬於”聯通的3G時代，強敵中國移動卻仍然能夠保有核心競爭力，在接過4G的權杖後迎風而上勢如破竹，主要是因為什麼？ 　是因為移動擁有最多的中低端用戶。百足之蟲死而不僵！ 　中低端使用者是語音時代的主要受眾，大量中低端用戶的存在分攤了成本，而進入了3G、4G 時代後的受眾依然是中低端用戶，只是換了個馬甲而已。所以還是那句話，得屌絲者得天下。 　專家們常講，對於運營商來說“誰先拿到牌照誰就能在競爭中取得最給力的優勢”。然而，借鑒聯通3G時代付之東流的果實，發現：即便拿下了優越的牌照，由於運營上的不足和缺少前瞻的能力，也並未見得能鞏固地位，擴建城池。事件起源於偶然，複歸於平常。為此，小管總結了中國聯通再次“倒掉”的原因，希望以史為鏡。 　一、失去4G發展的時間窗後增長乏力 　成也蕭何敗也蕭何。3G既讓中國聯通風光滿面地發展了幾年，也讓中國聯通沾沾自喜於3G的成績，而高估了自己的實力，小覷了4G帶來的衝擊。待競爭對手在4G上取得先發優勢後，中國聯通卻難以望其項背。 　二、有優勢的固網寬頻業務被對手瓜分蠶食 　固網寬頻一直是中國聯通的傳統優勢業務，特別是在北方市場，中國聯通更是有著巨大的優勢。可是，一直“單線作業”的中國移動近幾年也搶著進了寬頻市場，還採用低價策略蠶食聯通的寬頻市場，使得中國聯通被迫降低價格以保有市場，利潤被對手稀釋，縮水了很多。 　三、全球運營商行業整體“低迷” 　近幾年，無線網路的覆蓋普及，以及大眾對社交軟體的依賴，極大地衝擊了運營商的語音收入。尤其在騰訊系推出“免費語音”之後，單微信每天的通話量就已經達到2.8億分鐘，全年算下來超過1022億分鐘。基於網路流量的社交通訊越來越多的佔據了通訊市場，運營商“語音收入”口袋裡的錢自然減少很多，以至於原來最賺錢的語音通話，如今已淪為套餐裡的附贈品。 　不只中國大陸出現了這樣的行情，全球運營商的整體發展都出現相對低迷的形勢。更多的運營商們開始不只在移動業務上較勁兒互掐，還不約而同爭奪固網寬頻業務。單純的移動運營商已步履維艱，所有的移動運營商都面臨向全業務的轉型。如AT&T，已涉足固網寬頻；沃達豐，百億美元收購西班牙有線運營商Ono等。 　四、不能承受的人才流失之痛 　近年來，中國聯通從普通員工到公司高管，紛紛選擇出走逃離。相比較於移動和電信，聯通的業績面臨更大的壓力。隨著反腐倡廉的推進，現如今運營商內部的工作，早已不像當年那樣風光，員工獲取灰色收入的空間被壓縮。據聯通內部稱，聯通內部長期以來存在的那種緩慢、懶散、形式主義的做法，不少中層感覺升遷無望，又不知道去哪，只能在公司裡慢慢熬年頭。此外，這兩年，業界一直盛傳中國聯通將要合併重組，對於身處輿論漩渦中心的聯通員工來講，也可能帶來一定的影響。 　自2010年以來，中國聯通的股價已跌去了10%，而中國移動則上漲一半以上。有關中國聯通的“混合所有制”會有什麼內涵目前也尚不清晰。業內人士猜測，中國聯通會尋找一位戰略投資者，因為政府已經暗示向“業內巨頭”銷售股份是一個可能的選項。 　不知道4G時代掉隊的中國聯通，會不會率先成為混合所有制改革的先行成功者。亦或者，能夠再次乘上5G的東風，再起風雲？正所謂“東隅已逝，桑榆非晚”，也未可知。 【中央網路報】"
"2","絕食抗議砍7天假 勞團與警爆衝突"
"3","防美大選衝擊　國安基金5千億待命　"
"4","低溫宅配車廂溫度達35度 食安疑慮！"
"5","抗議刪7天假 勞團立院前絕食逾70小時"
"6","Sponsored"
"7","飯店最髒的地方曝光…太驚人"
"8","第1次進他房間 背著媽媽做…"
"9","童話世界成真～房子好像彩色積木"
"10","昆汀塔倫提諾再拍兩部就退休！"
