"","x"
"1","英國「衛報」(The Guardian)7日報導，英國商界領袖已開始對首相梅伊(Theresa May)施壓，要求政府對更多印度技術勞工與學生敞開大門，藉此提振英國經濟，並幫助確保英國在脫離歐盟(EU)之後，能與印度簽署貿易協定。 "
"2","梅伊這次訪問印度的3日行，部分目的即在強化英印經濟聯繫。英國戴森公司創辦人戴森(James Dyson)在梅伊參與的一場科技峰會中表示，英國必須「改變心態」。 "
"3","戴森在接受英國廣播公司(BBC)訪問時建議，政府應該發出更多簽證給印度技術勞工，同時准許印度學生在畢業之後待在英國更久。他說：「因為我們在未來幾年，將會短缺100萬名工程師。」 "
"4","啤酒商Cobra Beer創辦人、印度裔英國人比利摩里(Karan Bilimoria)在峰會中也補充：「諷刺的是，這場貿易任務的目的，是要為英國脫歐之後的英印貿易協定奠基。在此同時，(英國)卻持續對印度移民保持不歡迎態度。」 "
"5","梅伊則回應，她願意研究印度人申請入英簽證的經驗。但她也希望印度總理莫迪(Narendra Modi)能出力協助英國，將簽證已過期、但仍非法居留英國的印度國民遣送回家。"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
