"","x"
"1","中國時報【曾百村╱基隆報導　本報訊】"
"2","基隆崇右技術學院今年參加德國紅點設計大賽，一舉奪下4座紅點設計大獎，不僅是該校有史來以來最佳成績，同時也是在全國的技術學院中獲獎數第1名，視覺傳達設計系師生日前親赴德國領獎，並期許下明年「再來德國」。"
"3","紅點設計獎為國際四大設計獎之一，每年吸引了超過60個國家、1萬件作品投稿參賽，而得獎的作品除能在德國Essen紅點博物館展出作品外，同時也可以在世界各地巡迴，而崇右學子此次參賽展現驚人設計能量，今年奪下最佳紅點設計等4座獎項，截至目前為止，該校共獲得紅點設計等6座獎項。"
"4","獲獎得崇右學院視覺傳達設計系師生5日抵達德國柏林領獎，獲獎者以「陽光果子」、「腦波迷宮」、「牛氓」、「覓東山」等參賽作品，獲頒形象規畫及包裝設計類等4座紅點獎，會後師生也在德國柏林音樂廳外合照留念。"
"5","4組作品的學子李淑君、黃聖耀、沈楚崴、洪婉婷、何南彥、吳博品、鄒侑珊等人，在會後並參加設計師之夜，與世界各國的設計師交流。學子們表示，獲獎除了是自己努力已久得來的榮耀外，也感謝學校的專業訓練使他們作品躍上國際舞台，亮眼表現獲柏林電台節目採訪拍攝，將在當地播出。"
"6","能夠拿下設計界奧斯卡等級的德國紅點獎，校方也相當開心，此次除了獎助獲獎學子出國領獎外，董事長林金水則讚許學子表現出色，再獲紅點為校爭光。"
"7","校長俞維昇表示，崇右著重實務化、專業化與多元化的教學設計，設計學群落實與在地化文化產業的合作方向，成立「文化創意產業合作中心」突顯特色發展，而參與國內外競賽是學校方向，培養學子專業實作能力，不少作品在市場量產受業界肯定。"
"8","本報訊"
"9","名揚國際崇右技術學院師生日前前往德國，領取今年度4座紅點設計獎項，師生在柏林美術館前合影；下圖為師生參賽的設計作品。         （崇右技術學院提供）"
"10","路上逗狗說這句 下一秒汪星人劫車啦"
"11","純屬搞笑？穿鱷魚裝潛水真相是..."
"12","野外大白鯊出沒 下一秒驚悚片上演"
"13","不是在演電影！車開過頭倒掛空中"
"14","Sponsored"
"15","29歲無業男遊樂場拐童 坦承犯案收押"
"16","黃世銘洩密案 馬英九下午被告身分出庭"
"17","重建60年 麻豆代天府盛大舉辦慶典"
"18","台南遊樂場傳拐童案！ 女童險遭怪男擄走"
"19","Sponsored"
"20","飯店最髒的地方曝光…太驚人"
"21","第1次進他房間 背著媽媽做…"
"22","童話世界成真～房子好像彩色積木"
"23","昆汀塔倫提諾再拍兩部就退休！"
