"","x"
"1","（中央社記者張淑伶上海8日電）中共中央紀律檢查委員會書記王岐山今天在人民日報撰文表示，中國大陸是一黨長期執政，最大挑戰就是權力的有效監督，必須持續破解這一難題。"
"2","    中共總書記習近平上台後，便借助王岐山領導的中紀委執行反腐。王岐山今年68歲，外界甚至認為，明年底舉行的中國共產黨第19次全國代表大會，有可能打破用人年齡的不成文規定，讓屆時69歲的王岐山繼續留任中共政治局常委。"
"3","    王岐山針對中共日前在18屆六中全會通過的「關於新形勢下黨內政治生活的若干準則」及「中國共產黨黨內監督條例」作闡釋，表示這兩者「必將在黨的歷史上留下濃重一筆」。"
"4","    他說，中共面臨的風險和挑戰前所未有，突出問題是「黨的觀念淡漠、組織渙散、紀律鬆弛」。 他認為，使命意識的弱化，使中共黨員喪失了忠誠與擔當，缺乏「批評和自我批評」。"
"5","    這篇文章強調中共一黨專政的地位，王岐山再提「人心向背是最大的政治」，並說中共是政治組織，「必須旗幟鮮明講政治」。"
"6","    他說，「我們是一黨長期執政，最大挑戰就是權力的有效監督」，必須持續破解這個難題，而各項監督中，「黨內監督」排首位。"
"7","    文章中，王岐山也以習近平提出的「中國夢」破題，將「5000年中華文明」和「馬克思主義」結合，表示「文化自信」是「中國特色」的最好詮釋，「中共的領導是中國特色社會主義的本質特徵」。1051108"
"8","絕食抗議砍7天假 勞團與警爆衝突"
"9","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"10","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"11","蔡英文總統 新政權起步"
"12","Sponsored"
"13","飯店最髒的地方曝光…太驚人"
"14","第1次進他房間 背著媽媽做…"
"15","童話世界成真～房子好像彩色積木"
"16","昆汀塔倫提諾再拍兩部就退休！"
