"","x"
"1","選前之夜費城造勢 柯林頓批川普我行我素"
"2","（法新社費城7日電）    美國民主黨總統候選人希拉蕊．柯林頓今天在費城選前之夜造勢活動向數萬選民熱情催票，呼籲選民不要把票投給「我行我素的共和黨對手川普（Donald Trump）」。"
"3","    希拉蕊．柯林頓（Hillary Clinton）說：「這場選舉有明顯的選擇，究竟要選擇分裂，還是團結。」她的丈夫比爾．柯林頓（Bill Clinton）與總統歐巴馬及第一夫人蜜雪兒也都站台力挺。"
"4","    希拉蕊．柯林頓說：「這是在選擇為大眾效力的經濟，或只為上層階級服務的經濟、選擇強大又穩定的領導階層，或是我行我素讓每件事都陷入危險之地的人。」"
"5","絕食抗議砍7天假 勞團與警爆衝突"
"6","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"7","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"8","蔡英文總統 新政權起步"
"9","Sponsored"
"10","飯店最髒的地方曝光…太驚人"
"11","第1次進他房間 背著媽媽做…"
"12","童話世界成真～房子好像彩色積木"
"13","昆汀塔倫提諾再拍兩部就退休！"
