"","x"
"1","（中央社尼加拉瓜首都馬納瓜7日綜合外電報導）根據今天公布的選舉結果，尼加拉瓜左翼總統奧蒂嘉（Daniel Ortega）成功三連任，他向來以多彩裝扮亮相的妻子穆利優（Rosario Murillo）則將出任副總統。"
"2","    不過，反對陣營與美國紛紛譴責這場選舉。"
"3","    法新社報導，尼加拉瓜法院宣布，在99.8%已計算的選票中，70歲的前馬克斯主義叛軍領袖奧蒂嘉贏得72.5%的選票。"
"4","    最接近他的競爭者，偏右派的憲政自由黨（PLC）候選人羅德里格斯（Maximino Rodriguez），只拿到15%的票。"
"5","    過去37年來掌權長達20年的奧蒂嘉，被控利用法院限縮反對黨勢力。"
"6","    奧蒂嘉的反對者先前呼籲尼加拉瓜人民抵制昨天的選舉。"
"7","    選舉委員會官員指出，本次投票率為68.2%，但反對陣營估計的數字大為不同，低於30%。"
"8","    在選舉結果出來前，反對黨聯盟「民主廣泛陣線」（FAD）領導人格拉尼拉（Violeta Granera）告訴法新社：「我們不會承認這場鬧劇的結果。」（譯者：中央社許湘欣）1051108"
"9","絕食抗議砍7天假 勞團與警爆衝突"
"10","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"11","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"12","蔡英文總統 新政權起步"
"13","Sponsored"
"14","飯店最髒的地方曝光…太驚人"
"15","第1次進他房間 背著媽媽做…"
"16","童話世界成真～房子好像彩色積木"
"17","昆汀塔倫提諾再拍兩部就退休！"
