"","x"
"1","為期一週的費城運輸罷工在7日宣布結束，此舉將確保在8日大選投票日當天所有公車、電軌車及地鐵都將正常運作。 "
"2","美國費城主要運輸機構賓州東南區運輸局(SEPTA)和代表4,700名員工的運輸工會7日宣布達成臨時協議，罷工將結束。在7日下午，部份公車和電軌車將恢復運行，至於地鐵將會停靠每一站。 "
"3","SEPTA表示，通常罷工結束後至少必須24小時，所有的公車、電軌車和地鐵才會恢復正常，但這次將在8日早上前就全面運作。 "
"4","賓州是兵家必爭之地的州，費城多為民主黨人，民主黨候選人希拉蕊(Hillary Clinton)要勝過共和黨對手川普(Donald Trump)，此地的投票率相當重要。 "
"5","費城的民主黨領袖原本擔心，大眾運輸罷工將影響選民投票，傷害希拉蕊的選情。 "
"6","費城市和賓州政府在6日介入協調，促成罷工結束。"
"7","絕食抗議砍7天假 勞團與警爆衝突"
"8","防美大選衝擊　國安基金5千億待命　"
"9","低溫宅配車廂溫度達35度 食安疑慮！"
"10","抗議刪7天假 勞團立院前絕食逾70小時"
"11","Sponsored"
"12","飯店最髒的地方曝光…太驚人"
"13","第1次進他房間 背著媽媽做…"
"14","童話世界成真～房子好像彩色積木"
"15","昆汀塔倫提諾再拍兩部就退休！"
