"","x"
"1","（中央社記者張淑伶上海8日電）「深港通」在即，中國大陸深圳證券交易所官網7日晚間發布，相關業務12日全網測試，技術系統14日正式上線。"
"2","    證券日報報導，深交所聯合中國結算深圳分公司決定技術先行上線，同時要求擬首批開通深港通下港股通業務的參與人於20日前完成相關技術系統的上線。"
"3","    目前，已完成了了6方聯調測試、業務仿真測試、3次全網測試及開通演練，技術運行總體正常，測試結果符合預期。"
"4","    「深港通」是深圳與香港股市交易互聯互通，與「滬港通」都是大陸股市對國際資本市場的開放管道，今年8月16日大陸國務院批准實施。1051108"
"5","絕食抗議砍7天假 勞團與警爆衝突"
"6","防美大選衝擊　國安基金5千億待命　"
"7","低溫宅配車廂溫度達35度 食安疑慮！"
"8","抗議刪7天假 勞團立院前絕食逾70小時"
"9","Sponsored"
"10","飯店最髒的地方曝光…太驚人"
"11","第1次進他房間 背著媽媽做…"
"12","童話世界成真～房子好像彩色積木"
"13","昆汀塔倫提諾再拍兩部就退休！"
