"","x"
"1","美國總統大選登場，在民主黨總統候選人希拉蕊擺脫電郵罪嫌下，美<U+00A0>…"
"2","美國總統大選登場，在民主黨總統候選人希拉蕊．柯林頓擺脫電郵罪嫌下，美股飆漲，台股8日也開紅，新台幣兌美元早盤升破31.5元，呈現小升格局，但由於市場持續觀望，新台幣在31.5元陷入盤整。"
"3","美國民主黨總統候選人希拉蕊的電郵門事件落幕，美股道瓊工業指數大漲371.32點，以18259.60點作收。台股8日開盤也上漲25.11點，加權股價指數以9214.95點開出，不過，隨後拉回至平盤震盪。"
"4","在國際匯市部分，由於美國總統大選登場，市場靜待結果出爐，韓元在1136.9至1142韓元兌1美元盤整，日圓在104.37至104.59日圓兌1美元震盪，而人民幣兌美元中間價來到6.7817兌1美元，較前一交易日(7日)中間價6.7725元貶值92基點。"
"5","至於新台幣，匯銀人士指出，在台股走揚下，新台幣兌美元8日一開盤就升破31.5元，以31.49元、升值2.9分開出，不過，由於亞幣盤整，市場觀望美國總統大選結果，加上台股拉回平盤震盪，新台幣目前在31.5元狹幅盤整。"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
