"","x"
"1","美國總統大選專題報導（中央社華盛頓7日綜合外電報導）美國兩黨總統候選人的政見令亞太國家關注，下任總統是否會承續美國對亞太經濟成長與安全的投入。雙方鮮少爭論對中國大陸政策，則引發美國在亞洲領導地位恐更加削弱的疑慮。"
"2","    北韓正加緊核子試爆和飛彈試射，中國大陸在南海的領土聲索及好鬥行動使緊張升高，而美國長期盟邦菲律賓的新任總統誓言與美國「分道揚鑣」並轉而靠攏大陸和俄羅斯，在在都是亞太地區隱然出現的威脅。"
"3","    「美國之音」（VOA）報導，中國大陸正在亞太地區迅速擴大勢力和影響力，而自美國總統歐巴馬上任初期實施「戰略轉向亞洲」（Pivot to Asia）以來，美國部署在亞太的軍事資源即不斷增加。不過共和黨候選人川普（Donald Trump）和民主黨候選人希拉蕊．柯林頓（Hillary Clinton）的發言，卻讓許多區域內人士好奇，美方此一承諾是否會延續。"
"4","    特別是川普表示，除非南韓和日本進一步分攤成本，否則美國將不再保證予以協防，這使一些長期盟邦感到不安。他並誓言，一旦當選將放棄旨在開放太平洋周邊12國市場的跨太平洋夥伴協定（TPP）。"
"5","    華府智庫大西洋理事會（Atlantic Council）史考克羅國際安全中心（Brent Scowcroft Center onInternational Security）資深研究員曼寧（RobertManning）指出，儘管川普的「言論不夠一貫」，以致外界無法確定他當選後可能採取何種作法，但僅只他可能當選，就足以令亞太國家「擔心和厭惡」。"
"6","    另一方面，希拉蕊．柯林頓若當選，雖可望延續歐巴馬政府的戰略再平衡政策，但她強調反對TPP，因為她需要反對TPP的工會和藍領勞工支持。但專家指出，若沒有TPP這樣的經濟投入，美國在亞太地區的信譽將盪然無存。"
"7","    「南華早報」引述東西中心（East-West Centre）報告指出，美國及其盟邦對中國大陸日益獨斷專行的憂心，若與TPP和美國對亞太地區的投入前途未卜相較下，即顯得無足輕重。"
"8","    報告引述美國和亞洲觀察家的普遍看法指出，在外界認為美國無力因應中國大陸挑戰日甚的情況下，選舉辯論已使下任美國總統比較難以制定並執行一貫的亞洲政策。"
"9","    報告論定：「普遍認為挑戰艱鉅，目前看來，選戰已使美國所將步上的道路比較不確定得多。」"
"10","    報告執筆人之一、東西中心主任黎瑪耶（SatuLimaye）指出：「整體而言，辯論及（亞洲各國）相關反應的最終影響，對美國領導地位傷害很大，不但引起許多問題，也使美國領導角色的永續性、承諾、政策焦點以及可靠性更加遭到質疑。」"
"11","    兩位總統候選人都公開反對TPP，這是美國與中國大陸以外11個亞太國家已簽署的貿易協定。"
"12","    報告另1執筆人、喬治華盛頓大學（GeorgeWashington University）教授沙特（Robert Sutter）說：「TPP被視為美國在亞洲推行交往政策的重要部分。普遍認為，缺乏經濟成分的美國再平衡政策不具吸引力，只會使這些亞洲國家看似與美國強化安全結盟關係。」"
"13","    他指出：「（除日本外）沒有任何亞洲國家希望被看成在安全問題上靠攏美國，以免觸怒中國大陸。」（譯者：中央社何宏儒）1051108"
"14","America decides - first votes cast"
"15","America decides - first votes cast"
"16","Philippines drugs crackdown strains packed jails"
"17","NYC shows off anti-vote fraud technology"
"18","Sponsored"
"19","遏止全球暖化 巴黎協定生效"
"20","全球野生動物 40年消失六成"
"21","朴槿惠閨密崔順實 干政遭拘押"
"22","民主運動領袖 翁山蘇姬"
"23","Sponsored"
"24","飯店最髒的地方曝光…太驚人"
"25","第1次進他房間 背著媽媽做…"
"26","童話世界成真～房子好像彩色積木"
"27","昆汀塔倫提諾再拍兩部就退休！"
