"","x"
"1","今年美國總統選舉提前投票的人數創了紀錄，拉美裔特別踴躍，這有利希拉蕊。"
"2","根據美聯社的調查，將近四千五百萬選民已經提前完成投票，28個州以及哥倫比亞特區的提前投票人數都創了紀錄。"
"3","郵寄選票還在源源不絕的湧入，美聯社估計今年提前投票的人數，可能突破五千萬，四年前，有三成五的選民提前投票。"
"4","調查顯示，搖擺州北卡的黑人投票率下降了，這應該是比較基準太高的緣故，上兩屆因為歐巴馬，黑人投票異常踴躍，本屆則是拉美裔比較積極，拉美裔通常是支持民主黨的。（圖片取材自網路）"
"5","<U+00A0>"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
