"","x"
"1","洪習會後，國民黨8日公布相關民調，對於國民黨主席洪秀柱「以和<U+00A0>…"
"2","洪習會後，國民黨8日公布相關民調，對於國民黨主席洪秀柱「以和平政綱對抗台獨黨綱」的主張，有高達44.4%受訪者表示支持。近半（48.2%）認為洪秀柱此行有助於兩岸打破僵局促進兩岸交流。"
"3","國民黨文傳會副主委洪孟楷公布民調指出，洪秀柱登陸邀請大陸青年參加2017年世大運、並給台灣參與APEC等國際活動更大機會，此舉也獲得過半民眾支持（56.5%、64%）。"
"4","在保留與發揚中華文化上，洪秀柱認為，台灣應扮演更積極的角色，有高達57.3%受訪者表示同意。關於受訪者的政黨認同，國民黨25.7%、民進黨20.4%、親民黨3.2%、時代力量7.8%、表示政黨中立者為35.7%。詢及民眾統獨立場，6成贊同「維持現狀」。"
"5","民調委託全國意向顧問公司，於11月4至6日實施，樣本數1070份，抽樣誤差正負3%。"
"6","絕食抗議砍7天假 勞團與警爆衝突"
"7","再遭黨產會凍產 蔡正元批:太監級錦衣衛"
"8","【沃草烏龍球】林德福：扁說拍他的人是深藍的，難道不涉嫌公然侮辱？"
"9","蔡英文總統 新政權起步"
"10","Sponsored"
"11","飯店最髒的地方曝光…太驚人"
"12","第1次進他房間 背著媽媽做…"
"13","童話世界成真～房子好像彩色積木"
"14","昆汀塔倫提諾再拍兩部就退休！"
